text1,image1,image2
ball,images_donnelly/ball_purple.png,images_donnelly/apple_light.png
ball,images_donnelly/ball_tennis.png,images_donnelly/cow_black.png
bee,images_donnelly/bee_right.png,images_donnelly/bunny_left.png
bee,images_donnelly/bee_left.png,images_donnelly/horse_dark.png
cake,images_donnelly/cake_stars.png,images_donnelly/flower_pink.png
cake,images_donnelly/cake_words.png,images_donnelly/balloon_pink.png
car,images_donnelly/car_blue.png,images_donnelly/apple_dark.png
car,images_donnelly/car_black.png,images_donnelly/book_plain.png
dog,images_donnelly/dog_brown.png,images_donnelly/bird.png
dog,images_donnelly/dog_yellow.png,images_donnelly/horse_light.png
duck,images_donnelly/duck_white.png,images_donnelly/book_motif.png
duck,images_donnelly/duck_mallard.png,images_donnelly/cow_brown.png
fish,images_donnelly/fish_gold.png,images_donnelly/balloon_orange.png
fish,images_donnelly/fish_yellow.png,images_donnelly/spoon_long.png
fork,images_donnelly/fork_four.png,images_donnelly/chair_metal.png
fork,images_donnelly/fork_three.png,images_donnelly/pillow_crumpled.png
hat,images_donnelly/hat_dark.png,images_donnelly/spoon_short.png
hat,images_donnelly/hat_light.png,images_donnelly/toad_green.png
house,images_donnelly/house_brown.png,images_donnelly/tree_dark.png
house,images_donnelly/house_red.png,images_donnelly/clock_red.png
milk,images_donnelly/milk_jug.png,images_donnelly/chair_white.png
milk,images_donnelly/milk_glass.png,images_donnelly/pillow_straight.png
moon,images_donnelly/moon_grey.png,images_donnelly/cheese_yellow.png
moon,images_donnelly/moon_yellow.png,images_donnelly/bunny_right.png
pants,images_donnelly/pants_straight.png,images_donnelly/sofa_black.png
pants,images_donnelly/pants_tilt.png,images_donnelly/tree_light.png
pig,images_donnelly/pig_right.png,images_donnelly/cheese_pale.png
pig,images_donnelly/pig_left.png,images_donnelly/bunny_dark.png
shirt,images_donnelly/shirt_black.png,images_donnelly/clock_black.png
shirt,images_donnelly/shirt_green.png,images_donnelly/mug.png
shoe,images_donnelly/shoe_blue.png,images_donnelly/boat_blue.png
shoe,images_donnelly/shoe_purple.png,images_donnelly/flower_purple.png
train,images_donnelly/train_green.png,images_donnelly/toad_brown.png
train,images_donnelly/train_red.png,images_donnelly/boat_white.png
truck,images_donnelly/truck_red.png,images_donnelly/parrot.png
truck,images_donnelly/truck_black.png,images_donnelly/sofa_brown.png
baby,images_adams/baby1.png,images_adams/doggie1.png
baby,images_adams/baby2.png,images_adams/doggie2.png
baby,images_adams/baby3.png,images_adams/doggie3.png
baby,images_adams/baby4.png,images_adams/doggie4.png
dog,images_adams/doggie1.png,images_adams/baby1.png
dog,images_adams/doggie2.png,images_adams/baby2.png
dog,images_adams/doggie3.png,images_adams/baby3.png
dog,images_adams/doggie4.png,images_adams/baby4.png
bird,images_adams/birdy1.png,images_adams/kitty1.png
bird,images_adams/birdy2.png,images_adams/kitty2.png
bird,images_adams/birdy3.png,images_adams/kitty3.png
bird,images_adams/birdy4.png,images_adams/kitty4.png
cat,images_adams/kitty1.png,images_adams/birdy1.png
cat,images_adams/kitty2.png,images_adams/birdy2.png
cat,images_adams/kitty3.png,images_adams/birdy3.png
cat,images_adams/kitty4.png,images_adams/birdy4.png
ball,images_adams/ball1.png,images_adams/shoe1.png
ball,images_adams/ball2.png,images_adams/shoe2.png
ball,images_adams/ball3.png,images_adams/shoe3.png
ball,images_adams/ball4.png,images_adams/shoe4.png
shoe,images_adams/shoe1.png,images_adams/ball1.png
shoe,images_adams/shoe2.png,images_adams/ball2.png
shoe,images_adams/shoe3.png,images_adams/ball3.png
shoe,images_adams/shoe4.png,images_adams/ball4.png
book,images_adams/book1.png,images_adams/car1.png
book,images_adams/book2.png,images_adams/car2.png
book,images_adams/book3.png,images_adams/car3.png
book,images_adams/book4.png,images_adams/car4.png
car,images_adams/car1.png,images_adams/book1.png
car,images_adams/car2.png,images_adams/book2.png
car,images_adams/car3.png,images_adams/book3.png
car,images_adams/car4.png,images_adams/book4.png
bottle,images_frank/bottle.jpg,images_frank/bird.jpg
carrot,images_frank/carrot.jpg,images_frank/lamp.jpg
cat,images_frank/cat.jpg,images_frank/ball.jpg
cookie,images_frank/cookie.jpg,images_frank/baby.jpg
dog,images_frank/dog.jpg,images_frank/book.jpg
hammer,images_frank/hammer.jpg,images_frank/sheep.jpg
horse,images_frank/horse.jpg,images_frank/clock.jpg
lion,images_frank/lion.jpg,images_frank/table.jpg
