cue,response,kindergarten,first,third,fifth
add,bad,6,,,
add,number,4,,,
add,numbers,7,,,
add,paper,7,,,
add,something,4,,,
add,water,6,,,
add,writing,4,,,
allow,allowance,5,,,
allow,cloud,4,,,
allow,people,4,,,
allow,to,4,,,
always,be good,5,,,
always,do,6,,,
because,he,5,,,
because,why,30,,,
bee,bug,5,,,
bee,bumble,6,,,
bee,bumble bee,6,,,
bee,bumblebee,6,,,
bee,c,4,,,
bee,fly,5,,,
bee,honey,5,,,
bee,see,4,,,
bee,sting,16,,,
bee,tree,4,,,
begin,start,5,,,
begin,story,5,,,
begin,with,5,,,
belong,home,4,,,
belong,house,5,,,
belong,to,9,,,
belong,to me,5,,,
belong,to you,7,,,
between,each other,7,,,
between,me,8,,,
between,meals,5,,,
between,us,7,,,
between,you,6,,,
bird,flies,4,,,
bird,fly,45,,,
bird,flying,10,,,
bird,nest,5,,,
bird,robin,4,,,
bird,wing,15,,,
bird,wings,9,,,
bitter,better,10,,,
bitter,bit,10,,,
bitter,butter,10,,,
bitter,cold,8,,,
bitter,eat,4,,,
bitter,house,5,,,
black,bird,8,,,
black,blue,5,,,
black,brown,7,,,
black,cat,10,,,
black,color,9,,,
black,crayon,12,,,
black,dark,9,,,
black,dog,6,,,
black,hat,4,,,
black,night,5,,,
black,red,5,,,
black,white,6,,,
bright,dark,7,,,
bright,light,24,,,
bright,morning,5,,,
bright,right,4,,,
bright,sky,9,,,
bright,star,4,,,
bright,sun,39,,,
bright,sunshine,7,,,
bug,ant,4,,,
bug,bee,15,,,
bug,buggy,4,,,
bug,butterfly,7,,,
bug,crawl,7,,,
bug,flies,5,,,
bug,fly,14,,,
bug,insect,14,,,
bug,kill,5,,,
bug,spider,4,,,
bug,sting,6,,,
bug,tug,4,,,
bug,walk,4,,,
butterfly,bird,5,,,
butterfly,butter,14,,,
butterfly,catch,5,,,
butterfly,flies,8,,,
butterfly,fly,32,,,
butterfly,flying,8,,,
butterfly,net,5,,,
butterfly,wing,7,,,
butterfly,wings,9,,,
carry,a baby,5,,,
carry,baby,21,,,
carry,bag,6,,,
carry,basket,4,,,
carry,box,5,,,
carry,carriage,7,,,
carry,carrot,11,,,
carry,harry,4,,,
carry,me,9,,,
chair,bear,8,,,
chair,hair,5,,,
chair,sit,39,,,
chair,sit down,6,,,
chair,sitting,5,,,
chair,table,28,,,
clean,dirty,7,,,
clean,floor,10,,,
clean,house,18,,,
clean,lean,4,,,
clean,mean,5,,,
clean,the house,7,,,
clean,up,5,,,
clean,vacuum cleaner,6,,,
cocoon,animal,5,,,
cocoon,baboon,4,,,
cocoon,butterfly,5,,,
cocoon,caterpillar,5,,,
cocoon,raccoon,18,,,
cocoon,rat,5,,,
cocoon,tree,5,,,
cold,air,4,,,
cold,freezing,6,,,
cold,hot,25,,,
cold,outside,6,,,
cold,snow,4,,,
cold,warm,12,,,
cold,water,12,,,
cold,wind,8,,,
cold,winter,12,,,
color,a picture,5,,,
color,black,5,,,
color,blue,8,,,
color,book,12,,,
color,coloring book,11,,,
color,crayon,9,,,
color,crayons,9,,,
color,paper,7,,,
color,picture,9,,,
color,red,16,,,
color,tv,4,,,
color,yellow,5,,,
dark,bark,4,,,
dark,black,7,,,
dark,dog,4,,,
dark,light,25,,,
dark,moon,9,,,
dark,morning,9,,,
dark,night,27,,,
dark,sleep,4,,,
dark,sun,4,,,
deceive,chair,5,,,
deceive,receive,5,,,
deceive,see,5,,,
enjoy,boy,6,,,
enjoy,fun,10,,,
enjoy,love,4,,,
enjoy,party,8,,,
enjoy,people,5,,,
enjoy,the party,4,,,
examine,doctor,18,,,
examine,eyes,5,,,
flower,bee,8,,,
flower,daisy,8,,,
flower,grass,7,,,
flower,grow,12,,,
flower,honey,4,,,
flower,leaf,6,,,
flower,pick,5,,,
flower,plant,4,,,
flower,pot,4,,,
flower,pretty,7,,,
flower,rose,8,,,
flower,smell,5,,,
flower,water,4,,,
fly,airplane,6,,,
fly,bee,5,,,
fly,bird,30,,,
fly,birds,5,,,
fly,butterfly,10,,,
fly,fast,5,,,
fly,high,5,,,
fly,insect,6,,,
fly,wings,5,,,
fruit,apple,26,,,
fruit,banana,12,,,
fruit,boot,4,,,
fruit,cocktail,7,,,
fruit,eat,15,,,
fruit,good,4,,,
fruit,orange,8,,,
fruit,pear,4,,,
fruit,pears,4,,,
fruit,vegetable,4,,,
gallop,a horse,5,,,
gallop,away,4,,,
gallop,horse,92,,,
gallop,horsey,5,,,
gallop,on a horse,8,,,
gallop,pony,4,,,
gently,baby,4,,,
give,a present,4,,,
give,away,5,,,
give,gift,4,,,
give,live,5,,,
give,present,15,,,
give,presents,5,,,
give,thanks,5,,,
hand,arm,7,,,
hand,band,4,,,
hand,finger,5,,,
hand,fingers,5,,,
hand,foot,5,,,
hand,shake,7,,,
happen,fall,5,,,
happen,happy,4,,,
happen,hurt,6,,,
happen,something happened,6,,,
happen,what,9,,,
happen,what happened,6,,,
hard,cement,4,,,
hard,easy,5,,,
hard,heart,5,,,
hard,rock,16,,,
hard,soft,10,,,
hard,steel,4,,,
hard,work,11,,,
he,boy,12,,,
he,heat,4,,,
he,her,9,,,
he,him,4,,,
he,key,4,,,
he,man,10,,,
he,she,17,,,
her,a girl,4,,,
her,burr,4,,,
her,girl,18,,,
her,he,5,,,
her,him,21,,,
her,purr,4,,,
her,she,13,,,
high,bye,7,,,
high,goodbye,4,,,
high,hello,5,,,
high,in the air,4,,,
high,low,17,,,
high,sky,13,,,
high,tree,8,,,
him,boy,14,,,
him,dim,4,,,
him,dress,4,,,
him,her,19,,,
him,kim,5,,,
him,man,4,,,
him,me,5,,,
him,she,7,,,
him,you,4,,,
inquire,church,11,,,
inquire,quiet,8,,,
inquire,sing,11,,,
inquire,singing,5,,,
inquire,wire,12,,,
insect,bee,13,,,
insect,bite,7,,,
insect,bug,24,,,
insect,fly,13,,,
insect,in,6,,,
into,house,15,,,
into,indian,5,,,
into,the house,6,,,
into,to,9,,,
it,bit,4,,,
it,is,9,,,
it,sit,4,,,
it,was,4,,,
join,club,12,,,
join,coin,6,,,
join,fun,5,,,
join,game,5,,,
join,party,6,,,
join,the party,4,,,
listen,be quiet,8,,,
listen,hear,12,,,
listen,learn,7,,,
listen,quiet,8,,,
listen,sound,4,,,
listen,to,5,,,
listen,to me,8,,,
listen,to your mother,5,,,
long,grass,16,,,
long,lawnmower,5,,,
long,ride,4,,,
long,rope,5,,,
long,short,9,,,
long,time,7,,,
long,wood,4,,,
loud,cloud,6,,,
loud,holler,5,,,
loud,low,7,,,
loud,mouth,5,,,
loud,noise,8,,,
loud,quiet,12,,,
loud,scream,10,,,
loud,shout,7,,,
loud,soft,9,,,
loud,talk,5,,,
loud,yell,5,,,
loudly,holler,4,,,
loudly,loud,4,,,
loudly,quiet,10,,,
loudly,quietly,4,,,
loudly,scream,9,,,
loudly,shout,5,,,
loudly,softly,7,,,
loudly,talk,6,,,
loudly,too loud,4,,,
maintain,glass,4,,,
maintain,train,4,,,
man,boy,4,,,
man,car,4,,,
man,father,6,,,
man,hand,8,,,
man,hat,5,,,
man,lady,12,,,
man,walk,7,,,
man,woman,20,,,
mix,a cake,8,,,
mix,bowl,5,,,
mix,cake,36,,,
mix,mixer,4,,,
mix,up,4,,,
moth,ball,8,,,
moth,bug,5,,,
moth,butterfly,6,,,
moth,cloth,7,,,
moth,fly,12,,,
move,car,12,,,
move,cow,5,,,
move,door,4,,,
move,feet,4,,,
move,over,4,,,
move,walk,5,,,
music,dance,12,,,
music,fun,5,,,
music,piano,33,,,
music,play,10,,,
music,pretty,4,,,
music,record,9,,,
music,record player,4,,,
music,sing,8,,,
music,singing,4,,,
needle,doctor,5,,,
needle,hurt,8,,,
needle,pin,20,,,
needle,sew,11,,,
needle,sewing,5,,,
needle,shot,12,,,
needle,stick,5,,,
needle,thread,33,,,
net,butterfly,5,,,
net,catch,14,,,
net,catch fish,5,,,
net,crab,4,,,
net,fish,36,,,
net,nest,5,,,
never,again,10,,,
never,do,7,,,
never,ever,14,,,
never,land,4,,,
never,touch,7,,,
obey,bay,5,,,
obey,the law,5,,,
obey,your mother,7,,,
obey,your parents,4,,,
ocean,boat,13,,,
ocean,city,17,,,
ocean,fish,11,,,
ocean,liner,5,,,
ocean,river,4,,,
ocean,sea,12,,,
ocean,swim,9,,,
ocean,water,28,,,
ocean,waves,7,,,
off,dog,4,,,
off,light,4,,,
off,on,24,,,
on,gone,4,,,
on,off,24,,,
once,one,4,,,
once,story,5,,,
once,twice,11,,,
once,two,6,,,
once,upon,4,,,
once,upon a time,7,,,
pleasant,day,5,,,
pleasant,happy,5,,,
pleasant,living,11,,,
pleasant,nice,13,,,
pleasant,people,5,,,
pleasant,present,4,,,
prepare,car,4,,,
prepare,eat,5,,,
prepare,food,7,,,
prepare,pear,7,,,
prepare,repair,6,,,
pretty,beautiful,5,,,
pretty,dress,14,,,
pretty,flower,6,,,
pretty,flowers,4,,,
pretty,girl,25,,,
pretty,hair,5,,,
pretty,house,4,,,
pretty,lady,5,,,
pretty,nice,4,,,
pretty,ugly,5,,,
quiet,be,6,,,
quiet,be quiet,9,,,
quiet,bed,4,,,
quiet,loud,14,,,
quiet,noise,7,,,
quiet,noisy,7,,,
quiet,sleep,4,,,
restore,buy,11,,,
restore,door,4,,,
restore,food,25,,,
restore,store,13,,,
river,boat,32,,,
river,fish,5,,,
river,ocean,12,,,
river,stream,12,,,
river,swim,8,,,
river,water,39,,,
rough,dog,19,,,
rough,fight,7,,,
rough,fighting,4,,,
rough,rug,4,,,
rough,tough,12,,,
