,age_bin,kl,beta,iterations,model,accuracy
0,1.5,0.0062558825301682565,0.02601547020271414,59,babylm_git_2024,0.4473684210526316
1,2.0,0.03505779473740578,0.025112830022524804,75,babylm_git_2024,0.4473684210526316
2,2.5,0.1752596890330677,0.02533849006757214,71,babylm_git_2024,0.4473684210526316
3,1.5,0.0008480576255836508,0.05851051668953017,39,blip,1.0
4,2.0,0.008371683903645606,0.1052221460143282,47,blip,1.0
5,2.5,0.020919473117169508,0.32862559061118846,51,blip,1.0
6,1.5,0.000868190477563472,0.02533849006757214,57,bridgetower,1.0
7,2.0,0.005037389534939995,0.04564789412183215,49,bridgetower,1.0
8,2.5,0.017170648354313978,0.13568625209571822,45,bridgetower,1.0
9,1.5,0.0015367841619666218,0.02601547020271414,47,clip_base,0.9868421052631579
10,2.0,0.007388547049773018,0.03820111263527015,37,clip_base,0.9868421052631579
11,2.5,0.032106523938516957,0.14584095412284823,53,clip_base,0.9868421052631579
12,1.5,0.0015094062518532356,0.02601547020271414,45,clip_large,0.9868421052631579
13,2.0,0.007431286343931863,0.036170172229844144,37,clip_large,0.9868421052631579
14,2.5,0.03087238642177195,0.11943872885231022,43,clip_large,0.9868421052631579
15,1.5,0.005440862952424257,0.04632487425697415,51,cvcl,0.5921052631578947
16,2.0,0.02690931851393557,0.12553155006858824,37,cvcl,0.5921052631578947
17,2.5,0.14728579964043256,0.34487311385459646,39,cvcl,0.5921052631578947
18,1.5,0.0012750900847431953,0.02533849006757214,51,flava,0.9868421052631579
19,2.0,0.006012102924810754,0.040307273055711926,71,flava,0.9868421052631579
20,2.5,0.03118405873698503,0.11312024759098488,75,flava,0.9868421052631579
21,1.5,0.002898747220224698,0.025112830022524804,57,vilt,1.0
22,2.0,0.005270973666136438,0.028723390743282142,145,vilt,1.0
23,2.5,0.017931611015187338,0.0910055631763462,37,vilt,1.0
